"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"pcirs_parent18","Integer","","Recommended","18. Allows child to play alone","0; 1; 2; 3; 4","0 = Capacity never present; 1 = Capacity fleetingly present; 2 = Capacity intermittently present; 3 = Capacity present most of the time; 4 = Capacity present all the time in all circumstances",""
"pcirs_parent19","Integer","","Recommended","19. Maintains purposeful interaction with child","0; 1; 2; 3; 4","0 = Capacity never present; 1 = Capacity fleetingly present; 2 = Capacity intermittently present; 3 = Capacity present most of the time; 4 = Capacity present all the time in all circumstances",""
"pcirs_parent20","Integer","","Recommended","20. Maintains socially meaningful behaviors with child","0; 1; 2; 3; 4","0 = Capacity never present; 1 = Capacity fleetingly present; 2 = Capacity intermittently present; 3 = Capacity present most of the time; 4 = Capacity present all the time in all circumstances",""
"pcirs_parent21","Integer","","Recommended","21. Helps child do symbolic play","0; 1; 2; 3; 4","0 = Capacity never present; 1 = Capacity fleetingly present; 2 = Capacity intermittently present; 3 = Capacity present most of the time; 4 = Capacity present all the time in all circumstances",""
"pcirs_parent22","Integer","","Recommended","22. Parent in synch with child","0; 1; 2; 3; 4","0 = Capacity never present; 1 = Capacity fleetingly present; 2 = Capacity intermittently present; 3 = Capacity present most of the time; 4 = Capacity present all the time in all circumstances",""
"pcirs_child01","Integer","","Recommended","1. Emotionally available to parent(s)","0; 1; 2; 3; 4","0 = Capacity never present; 1 = Capacity fleetingly present; 2 = Capacity intermittently present; 3 = Capacity present most of the time; 4 = Capacity present all the time in all circumstances",""
"pcirs_child02","Integer","","Recommended","2. Comfortable and relaxed with parent(s)","0; 1; 2; 3; 4","0 = Capacity never present; 1 = Capacity fleetingly present; 2 = Capacity intermittently present; 3 = Capacity present most of the time; 4 = Capacity present all the time in all circumstances",""
"pcirs_child03","Integer","","Recommended","3. Closes many circles of communication with parent(s)","0; 1; 2; 3; 4","0 = Capacity never present; 1 = Capacity fleetingly present; 2 = Capacity intermittently present; 3 = Capacity present most of the time; 4 = Capacity present all the time in all circumstances",""
"pcirs_child04","Integer","","Recommended","4. Take lead in interaction with parent(s)","0; 1; 2; 3; 4","0 = Capacity never present; 1 = Capacity fleetingly present; 2 = Capacity intermittently present; 3 = Capacity present most of the time; 4 = Capacity present all the time in all circumstances",""
"pcirs_child05","Integer","","Recommended","5. Warm and accepting of parent(s)","0; 1; 2; 3; 4","0 = Capacity never present; 1 = Capacity fleetingly present; 2 = Capacity intermittently present; 3 = Capacity present most of the time; 4 = Capacity present all the time in all circumstances",""
"pcirs_child06","Integer","","Recommended","6. Responds well to tone of voice of parent(s)","0; 1; 2; 3; 4","0 = Capacity never present; 1 = Capacity fleetingly present; 2 = Capacity intermittently present; 3 = Capacity present most of the time; 4 = Capacity present all the time in all circumstances",""
"pcirs_child07","Integer","","Recommended","7. Assertive with parent(s)","0; 1; 2; 3; 4","0 = Capacity never present; 1 = Capacity fleetingly present; 2 = Capacity intermittently present; 3 = Capacity present most of the time; 4 = Capacity present all the time in all circumstances",""
"pcirs_child08","Integer","","Recommended","8. Responds well to parent(s)'s encouragement","0; 1; 2; 3; 4","0 = Capacity never present; 1 = Capacity fleetingly present; 2 = Capacity intermittently present; 3 = Capacity present most of the time; 4 = Capacity present all the time in all circumstances",""
"pcirs_child09","Integer","","Recommended","9. Creative interactions with parent(s)","0; 1; 2; 3; 4","0 = Capacity never present; 1 = Capacity fleetingly present; 2 = Capacity intermittently present; 3 = Capacity present most of the time; 4 = Capacity present all the time in all circumstances",""
"pcirs_child10","Integer","","Recommended","10. Maintain eye level contact with parent(s)","0; 1; 2; 3; 4","0 = Capacity never present; 1 = Capacity fleetingly present; 2 = Capacity intermittently present; 3 = Capacity present most of the time; 4 = Capacity present all the time in all circumstances",""
"pcirs_child11","Integer","","Recommended","11. Enjoys interaction with parent(s)","0; 1; 2; 3; 4","0 = Capacity never present; 1 = Capacity fleetingly present; 2 = Capacity intermittently present; 3 = Capacity present most of the time; 4 = Capacity present all the time in all circumstances",""
"pcirs_child12","Integer","","Recommended","12. Emotionally stable with parent(s)","0; 1; 2; 3; 4","0 = Capacity never present; 1 = Capacity fleetingly present; 2 = Capacity intermittently present; 3 = Capacity present most of the time; 4 = Capacity present all the time in all circumstances",""
"pcirs_child13","Integer","","Recommended","13. Very close in interaction with parent(s)","0; 1; 2; 3; 4","0 = Capacity never present; 1 = Capacity fleetingly present; 2 = Capacity intermittently present; 3 = Capacity present most of the time; 4 = Capacity present all the time in all circumstances",""
"pcirs_child14","Integer","","Recommended","14. Very organized with parent(s)","0; 1; 2; 3; 4","0 = Capacity never present; 1 = Capacity fleetingly present; 2 = Capacity intermittently present; 3 = Capacity present most of the time; 4 = Capacity present all the time in all circumstances",""
"pcirs_child15","Integer","","Recommended","15. Child responds to changing mood in parent(s)","0; 1; 2; 3; 4","0 = Capacity never present; 1 = Capacity fleetingly present; 2 = Capacity intermittently present; 3 = Capacity present most of the time; 4 = Capacity present all the time in all circumstances",""
"pcirs_child16","Integer","","Recommended","16. Very interested in parent(s)'s approach","0; 1; 2; 3; 4","0 = Capacity never present; 1 = Capacity fleetingly present; 2 = Capacity intermittently present; 3 = Capacity present most of the time; 4 = Capacity present all the time in all circumstances",""
"pcirs_child17","Integer","","Recommended","17. Responds to parents verbal and visual cues","0; 1; 2; 3; 4","0 = Capacity never present; 1 = Capacity fleetingly present; 2 = Capacity intermittently present; 3 = Capacity present most of the time; 4 = Capacity present all the time in all circumstances",""
"pcirs_child18","Integer","","Recommended","18. Child plays alone comfortably","0; 1; 2; 3; 4","0 = Capacity never present; 1 = Capacity fleetingly present; 2 = Capacity intermittently present; 3 = Capacity present most of the time; 4 = Capacity present all the time in all circumstances",""
"pcirs_child19","Integer","","Recommended","19. Maintains purposeful interaction with parents","0; 1; 2; 3; 4","0 = Capacity never present; 1 = Capacity fleetingly present; 2 = Capacity intermittently present; 3 = Capacity present most of the time; 4 = Capacity present all the time in all circumstances",""
"pcirs_child20","Integer","","Recommended","20. Maintains socially meaningful behaviors with parent(s)","0; 1; 2; 3; 4","0 = Capacity never present; 1 = Capacity fleetingly present; 2 = Capacity intermittently present; 3 = Capacity present most of the time; 4 = Capacity present all the time in all circumstances",""
"pcirs_child21","Integer","","Recommended","21. Does symbolic play with parent(s)","0; 1; 2; 3; 4","0 = Capacity never present; 1 = Capacity fleetingly present; 2 = Capacity intermittently present; 3 = Capacity present most of the time; 4 = Capacity present all the time in all circumstances",""
"pcirs_child22","Integer","","Recommended","22. Child in synch with parent(s)","0; 1; 2; 3; 4","0 = Capacity never present; 1 = Capacity fleetingly present; 2 = Capacity intermittently present; 3 = Capacity present most of the time; 4 = Capacity present all the time in all circumstances",""
"pcirs_parent_total","Integer","","Required","Parent(s) - Total Score","0 :: 88","",""
"pcirs_child_total","Integer","","Required","Child - Total Score","0 :: 88","",""
