"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"hsanx","Integer","","Recommended","HRS Somatic anxiety","0::4;-9","0 = Absent: No somatic anxiety; 1 =Doubtful or trivial: Minor symptoms elicited only by direct questioning; 2= Mild: Spontaneously describes symptoms, which are not marked or incapacitating; 3=Moderate: Greater number and frequency of symptoms; accompanied by subjective distress and serve to impair normal functioning; 4 = Severe: Symptoms are numerous, persistent and incapacitating much of the time; -9 = Not answered
","10031,anxiety_somatic,anxietysomatic,ham11,ham_anx_som,hamd11,hamd17_anxiety_somatic,hamd_11,hamd_11_stability,hamd_11_stability_percent,hamd_26,hamilton11,hrsd11,somatic,somaticanx_hrsd,v10_hamd_13_anxiety_somatic,v1_hamd_13_anxiety_somatic,v2_hamd_13_anxiety_somatic"
"hhypc","Integer","","Recommended","HRS Hypochondriasis","0::4;-9","0=Absent; 1=Mild; 2=Moderate; 3=Moderately severe; 4=Severe; -9 = Not answered","10040,ham15,hamd15,hamd17_hypochondriasis,hamd_27,hamdd_15,hamdd_15_stability,hamdd_15_stability_percent,hamilton15,hrsd15,hypochon_hrsd,hypochondriasis,hypocodr,v10_hamd_14_hypochond,v1_hamd_14_hypochond,v2_hamd_14_hypochond"
"hvwsf","Integer","","Recommended","HRS Guilt feelings and delusions","0::4;-9","0=Absent; 1=Doubtful or trivial: Self reproach, feels he has let people down; 2=Mild:Ideas of guilt or rumination over past errors or sinful deeds; 3=Moderate: Present illness is a punishment. Delusions of guilt; 4=Severe: Hears accusatory or denunciatory voices and/or experiences threatening visual hallucinations; -9 = Not answered","10011,feelings_of_guilt,guilt,guilt_hrsd,ham2,ham_guilt,hamd17_guilt,hamd2,hamd6_2,hamd_2,hamd_21,hamd_2_stability,hamd_2_stability_percent,hamilton2,hrsd2,v10_hamd_10_guilt,v1_hamd_10_guilt,v2_hamd_10_guilt"
"hsuic","Integer","","Recommended","HRS Suicide","0::4;-9","0=Absent; 1=Feels life is empty; 2=Wishes for death; 3=Active suicidal thoughts; 4=Serious suicide attempt; -9 = Not answered","10012,ham3,ham_suicide,hamd17_suicide,hamd3,hamd_23,hamd_3,hamd_3_stability,hamd_3_stability_percent,hamilton3,hrsd3,suicide,suicide_hrsd,v10_hamd_11_suicide,v1_hamd_11_suicide,v2_hamd_11_suicide"
"hintr","Integer","","Recommended","HRS Work and interests","0::4;-9","0=Absent: No difficulty; 1=Doubtful or trivial: Thoughts and feelings of incapacity , fatigue or weakness related to activities; work or hobbies; 2=Mild: Loss of interest in activity; hobbies or work—either directly reported by patient, or indirect in listlessness, indecision and vacillation (feels he has to push self to work or activities); 3=Moderate: Decrease in actual time spent in activities or decrease in productivity; 4=Severe: Stopped working because of present illness; -9 = Not answered
","10018,activities,apathy_hrsd,ham7,ham_work,ham_workact,hamd17_activities,hamd6_3,hamd7,hamd_03,hamd_7,hamd_7_stability,hamd_7_stability_percent,hamilton7,hrsd7,v10_hamd_2_workandactivities,v1_hamd_2_workandactivities,v2_hamd_2_workandactivities,work1,work_act_interest,workact"
"hengy","Integer","","Recommended","HRS Somatic energy","0::2;-9","0 = Absent: No change in energy; 1 = Mild: Infrequent, feelings noted but not marked; 2 =Obvious and severe: Tires very quickly, exhausted much of the time, spontaneously mentions symptoms; -9 = Not answered
","ham13,ham_som_gen,hamd13,hamd17_somsxs_gen,motor_activity_energy_hrsd,somaenergy_hrsd"
"hslow","Integer","","Recommended","HRS Retardation. Psychomotor (Slowness of thought and speech; impaired ability to concentrate; decreased motor activity).","0::4;-9","0=Absent: Normal speech and thought; 1=Mild: Slight retardation at interview; 2=Moderate: Obvious retardation at interview; 3=Severe: Interview difficult; 4=Extreme: Complete stupor; -9 = Not answered","10019,ham8,ham_psychomotor,ham_retardation,hamd17_retardation,hamd6_4,hamd8,hamd_30,hamd_8,hamd_8_stability,hamd_8_stability_percent,hamilton8,hrsd8,psychoretard_hrsd,retard,retardation,speech_rate_amount_re_hrsd,v10_hamd_16_retardation,v1_hamd_16_retardation,v2_hamd_16_retardation"
"hagit","Integer","","Recommended","HRS Agitation","0::5; -9","0=Absent: None; 1=Mild: Fidgetiness; 2=Moderate: Playing with hands, hair, etc.;3=Severe: Moving about, can't sit still; 4=Extreme: Hand wringing, nail biting, hair-pulling, biting of lips; 5=Definite; -9=NA","10020,agitate,agitation,agitation_hrsd,ham9,ham_agitation,hamd17_agitation,hamd9,hamd_29,hamd_9,hamd_9_stability,hamd_9_stability_percent,hamilton9,hrsd9,irritability_agitation_hrs,v10_hamd_17_agitation,v1_hamd_17_agitation,v2_hamd_17_agitation"
"hsex","Integer","","Recommended","HRS Libido","0::2;-9","0 =Absent: No loss or inadequate information; 1 = Mild: Loss of libido and/or some impairment of sexual function; 2 =Severe: Complete loss of sexual drive; -9 = Not answered
","10039,genital,ham14,ham_genital_symptoms,ham_libido,hamd14,hamd17_genitalsxs,hamd_14,hamd_14_stability,hamd_14_stability_percent,hamd_20,libido_hrsd,libido_sexual_interest_hrs,v10_hamd_3_genitalsymptoms,v1_hamd_3_genitalsymptoms,v2_hamd_3_genitalsymptoms"
"hdtot_r","Integer","","Recommended","HRS total score (recorded)","","","hamd_total,hamd_total_17,hamd_total_stability,hamd_total_stability_percent,hrsdscr,score_hrsd,v10_hamd_totalscore,v1_hamd_totalscore,v2_hamd_totalscore"
"days_baseline","Integer","","Recommended","Days since baseline","","","date,vdahrsd"
"level","String","10","Recommended","Treatment level","","",""
"month","Integer","","Recommended","Month in Follow-Up","","",""
"time_point","Integer","","Recommended","Assessment time point","","1=Baseline (STARD); 2=Level exit (STARD); 3= Quarterly follow up (STARD);5= Screening; 10= Baseline; 21, 22, 23 = Mid-point 1, 2, 3; 30= End-of-treatment;  41, 42, 43= Follow-up1, 2, 3 etc.; 601 = 6 Month Reassessment ; 602 = 12 Month Reassessment ; 603 = 18 Month Reassessment",""
"hrsd_total","Integer","","Recommended","HRS total score","","","hrsd_r,hrsd_tot"
"hamd_02","Integer","","Recommended","Hopelessness","0::4;-9","0=Absent; 1=Mild; 2=Moderate; 3=Moderately severe; 4=Severe; -9 = Not answered","ham23,ham27,ham_hopeless,hopeless,hopelessness"
"hamd_04","Integer","","Recommended","Helplessness","0::4;-9","0=Absent; 1=Mild; 2=Moderate; 3=Moderately severe; 4=Severe; -9 = Not answered","ham22,ham26,ham_helpless,helpless,helplessness"
"hamd_05","Integer","","Recommended","Social withdrawal","0::4","0=Absent; 1=Mild; 2=Moderate; 3=Moderately severe; 4=Severe","hamilton23"
"hamd_09","Integer","","Recommended","Hypersomnia","0::2;-9","0 =Absent; 1 =Mild: Less than 60 minutes; 2 = Obvious and definite: goes to bed more than 60 minutes earlier on most nights; -9 = Not answered
","10017,ham_hypersom_time,hamilton28,hypersomnia"
"hamd_10","Integer","","Recommended","Somatic symptoms gastrointestinal","0::2","0=Normal; 1=Mild; 2=Moderate to severe","10028,gastro,ham_somatic_gastro,hamd12,hamd_12_stability,hamd_12_stability_percent,hamilton12,hrsd12,symptomsgastro"
"hamd_11","Integer","","Recommended","Appetite increase","0::3; -9","0=Absent; 1=Mild: Minimal or slight increase in appetite, food cravings; 2=Obvious: Definite and marked increase in food Intake; 3=Severe; -9 =NA","appetite,apptinc,ham_appetite_incr,hamilton24"
"hamd_12","Integer","","Recommended","Increased eating","0::3","0=Absent; 1=Mild; 2=Moderate; 3=Marked","hamilton25"
"hamd_13","Integer","","Recommended","Carbohydrate craving","0::3","0=Absent; 1=Mild; 2=Moderate; 3=Marked","carbcrav,hamilton26"
"hamd_15","Integer","","Recommended","14b Loss of weight rated by ward staff","0::2","0=Normal; 1=Mild; 2=Moderate to severe","ham_wlossrec,hamd17"
"hamd_16","Integer","","Recommended","15a Weight Gain","0::2;-9","0 = Absent; 1 = Doubtful or minimal: Less than 5 lbs in 2 wks; 2 = Obvious: Greater than or equal to 5 lbs over the past 2 weeks; -9 = Not answered
","10037,ham_weight_gain,hamilton27,wtgain"
"hamd_17","Integer","","Recommended","15b Gain of weight rated by ward staff","0::2","0=Normal; 1=Mild; 2=Moderate to severe",""
"hamd_18","Integer","","Recommended","Somatic symptoms general","0::2","0=Normal; 1=Mild; 2=Moderate to severe","10038,general,hamd13,hamd6_6,hamd_13,hamd_13_stability,hamd_13_stability_percent,hamilton13,hrsd13,som_gen,symptomsgeneral,v10_hamd_9_somaticgeneral,v1_hamd_9_somaticgeneral,v2_hamd_9_somaticgeneral"
"hamd_19","Integer","","Recommended","Fatiguability","0::4","0=Absent; 1=Mild; 2=Moderate; 3=Moderately severe; 4=Severe","anergia,fatigue,hamilton22"
"hamd_22","Integer","","Recommended","Worthlessness","0::4;-9","0=Absent; 1=Mild; 2=Moderate; 3=Moderately severe; 4=Severe; -9 = Not answered","ham24,ham28,ham_worthless,worthles,worthlessness"
"hamd_25","Integer","","Recommended","Concentration","0::4","0=Absent; 1=Mild; 2=Moderate; 3=Moderately severe; 4=Severe","10033"
"hamd_31","Integer","","Recommended","29A.  (H18) Diurnal Variation","0::3","0=No variation or not currently depressed; 1=Worse in AM; 2=Worse in PM; 3=Worse in afternoon","depint,diurnal,ham18a"
"hamd_32","Integer","","Recommended","29B. When present, mark the severity of the variation:","0::2;-9","0=Normal; 1=Mild; 2=Moderate to severe; -9 = Not answered","diurnalampm,diurnalv,ham18,ham_diurnal,ham_diuvarsev"
"hamd_33","Integer","","Recommended","Depersonalization/derealization","0::4","0=Absent; 1=Mild; 2=Moderate; 3=Moderately severe; 4=Severe","deperson,depersonalization,dereal,ham19,ham_dereal,hamilton19"
"hamd_34","Integer","","Recommended","Paranoid symptoms","0::4","0=Absent; 1=Mild; 2=Moderate; 3=Moderately severe; 4=Severe","ham20,ham_paranoid,hamilton20,paranoia,paranoid"
"hamd_35","Integer","","Recommended","Obsessive and compulsive symptoms","0::2","0=Normal; 1=Mild; 2=Moderate to severe","ham21,ham_obsess,hamilton21,hocd,obsess,obsession"
"hamd_36","Float","","Recommended","HAMD Total 17 Item Score","","","_score17,ham17tot,ham_tot17,ham_total_score,hamd17_tot,hamdscor,score17"
"hamd_score_24","Float","","Recommended","HAMD Total 24 Item Score","","","_score24,ham24tot,score,score24"
"subject_description","String","4000","Recommended","Subject related information (e.g the affection, phenotype, disease information, etc.).","","",""
"site","String","101","Recommended","Site","","Study Site","siteid"
"session_id","String","20","Recommended","session ID/screening ID","","","screeningid"
"visit","String","60","Recommended","Visit name","","","visit_name,visitn,visitnum,vtypbima,vtypbprs"
"version_form","String","121","Recommended","Form used/assessment name","","","form_name"
"completed","Integer","","Recommended","Checks if completed","0::3","0=No; 1=Yes; 2=Yes, lost; 3=Unverified","tstst"
"study","String","100","Recommended","Study; The code for each individual study","","","vistyp"
"week","Float","","Recommended","Week in level/study","","99=week 10-week 14","intid"
"hypersom_1","Integer","","Recommended","Hypersomnia: During the past week, have you been sleeping too much?","0::4","0=No increase in sleep length, 1=At least one hour increase, 2=2+hours increase, 3=3+hours increase, 4=4+hours increase,",""
"hyplen","Integer","","Recommended","Sleep length used to measure Hypersomnia","1;2","1=Euthymic, 2=8-Hour,",""
"ca220","Integer","","Recommended","Current condition - Other depressive symptoms: Diurnal variation","1::3","1=Worse in morning; 2=Worse in evening; 3=No difference","depintim"
"diurvar","Integer","","Recommended","Diurnal variation: mood/energy","0::3","0=No variation or not currently present; 1=Mild intensity; 2=Moderate intensity;3=Severe intensity","diurnalv"
"diurtm","Integer","","Recommended","Diurnal variation mood/energy: time period","1;2","1=Afternoon;2=Evening",""
"phase","Integer","","Recommended","Phase","","9 =follow up",""
"vis_type","Integer","","Recommended","Visit type","0::2","1=Phone/remote; 0=doctor's office/In person; 2=No, not phone interview","phone"
"hwl_hx","Integer","","Recommended","HRS Weight loss by history","0::3","0=No weight loss; 1=Probable weight loss associated with present illness; 2=Definite weight loss; 3= not assessed","hamd16a,hamilton16a,v1_hamd_5_weightloss,v1_hamd_5_weightloss_history,v2_hamd_5_weightloss_history"
"hwl_wk","Integer","","Recommended","HRS Weight loss by week","0::3","0=Less than 1lb. during past week; 1=Greater than 1lb. During the past week; 2=Greater than 2lb. during the past week; 3=not assessed","hamd16b,hrsd16b,v10_hamd_5_weightloss,v1_hamd_5_weightloss_weekly,v2_hamd_5_weightloss_weekly"
"date_updated","Date","","Recommended","Date record updated","","","edit_date"
"neurotmh","String","10","Recommended","Time Hours","","","timeh"
"neurotmm","String","10","Recommended","Time Minutes","","","timem"
"study_id","Integer","","Recommended","Study ID number","","46=Acute Phase; 47=Stabilization Phase",""
"mildtime","String","2","Recommended","Diurnal variation: mild variation time","","AM;PM","eosdthdt"
"sevtime","String","2","Recommended","Diurnal variation: severe variation time","","AM;PM","eosalvdt"
"saps_ad10","Integer","","Recommended","Rater number","","",""
"ksd1dur","Integer","","Recommended","Duration of Depressed Mood (weeks) ","","888=NA; 999=Missing","v10_hamd_1_depressedmood_length,v1_hamd_1_depressedmood_length,v2_hamd_1_depressedmood_length"
"visnum","Float","","Recommended","Numeric Visit Number","","-1.5 = Pre-Screening; -1 = Screening; 0 = Baseline; ## = Visit ## (from 1 to 10); Whole numbers = standard monthly visits; #.001 - #.009 = Unscheduled; #.1 = End of Phase 1; #.2 = End of Phase 2; #.3 = End of Phase 3; #.4 = End of Open Choice Phase; #.5 = End of Study; #.6 = Genetic Analysis; 1000=all visits","visitdatehamd1,visitdatehamd1_stability,visitdatehamd1_stability_percent"
"hamsc21","Integer","","Recommended","Score 21 items","","sum items 1-21 (including 16A, 16B, and 18B--but not 18A following Rating Instructions)",""
"hamsc28","Integer","","Recommended","score 28 items","","sum items 1-28 (including 16A, 16B, and 18B--but not 18A following Rating Instructions)","ham_tot28,hamtot28"
"ham18a","Integer","","Recommended","Diurnal Variation Severity AM","0::2","GRID D = Symptom Intensity Absent; Mild or Probable; Marked or Definite.  ",""
"ham18b","Integer","","Recommended","Diurnal Variation Severity PM","0::2","GRID D = Symptom Intensity Absent; Mild or Probable; Marked or Definite.  ",""
"me2","Integer","","Recommended","Status","0;1","0 = Past [Inactive]; 1 = Active",""
"hsleep","Integer","","Recommended","Oversleeping","0::2;-9","0 = Absent; 1 = Mild or infrequently: Oversleeps less than 60 minutes; 2 =Obvious or definite: Oversleeps more than 60 minutes most days; -9 = Not answered
","ham_hypersom_over"
"hnap","Integer","","Recommended","Napping","0::2;-9","0 = Absent; 1 = Mild or infrequently: Naps less than 30 minutes; 2 =Obvious or definite: Naps more than 30 minutes most days; -9 = Not answered","ham_hypersom_naps"
"hpre","Integer","","Recommended","Psychic Retardation (Slowness of speech and thought processes.  Describes inhibition of will or feeling as if thought processes are paralyzed)","0::4;-9","0 = Absent; 1 = Mild: Slight slowing of speech or thought; 2 = Moderate: Delayed in answering questions, describes volitional inhibition; 3 = Severe: Slowness of speech and thought processes sufficient to markedly prolong interview; 4 =Extreme: Nearly mute, minimally responsive; -9 = Not answered
","ham_psyc_retard"
"hmre","Integer","","Recommended","Motoric Retardation (Slowness in movement and affective expression.)","0::4;-9","0= Absent; 1 = Mild: Slight flattening of affect, fixed expression; 2 = Moderate: Monotonous voice and decrease in spontaneous movement; 3 = Severe: Obvious slowness of movement and gait; blunted affect; 4 =Extreme: Stuporous.  Marked motoric retardation in gait and posture; -9 = Not answered
","ham25,ham_motor_retard"
"scoreatyp","Integer","","Recommended","sum of items 25, 26, 27, and 28 on the assessment","","",""
"hrsd_24","Integer","","Recommended","Rejection Sensitivity","0::3","0=Absent; 1=Mild; 2=Moderate; 3=Severe","rejection"
"hrsd_26","Integer","","Recommended","Hypersomnia (severity level)","0::3","0=Absent; 1=Mild; 2=Moderate; 3=Severe",""
"visitid","Integer","","Recommended","MetaTrial Visit ID","","System variable: unique code for each type of visit -use to merge files",""
"agitate1","Integer","","Recommended","Agitation (Restlessness associated with anxiety)","0::2; -9","0=Absent: None; 1= Occasional: Playing with hands, hair, etc.;2= Frequent: Hand wringing, nail biting, hair-pulling, biting of lips;  -9=NA","hamd9"
"aescode","Integer","","Recommended","Staff code number of person completing this form","","","rater_hamd1"
"work_act_drive","Integer","","Recommended","Initiative/Drive","0::4","0=No difficulty; 1=Thoughts and feelings of incapacity , or disinterest related to activities, work or hobbies; 2=Loss of interest in activity; hobbies or work either directly reported by patient, or indirect in listlessness, indecision and vacillation (feels he/she has to push self to work or activities); 3=Decrease in actual time spent in activities or decrease in productivity; 4=Complete loss of interest, anhedonia, stopped working because of present illness",""
"work_act_produc","Integer","","Recommended","Activity Level/Productivity","0::4","0=No difficulty; 1=Thoughts and feelings of incapacity , or disinterest related to activities, work or hobbies; 2=Loss of interest in activity; hobbies or work either directly reported by patient, or indirect in listlessness, indecision and vacillation (feels he/she has to push self to work or activities); 3=Decrease in actual time spent in activities or decrease in productivity; 4=Complete loss of interest, anhedonia, stopped working because of present illness",""
"work_act_pleasure","Integer","","Recommended","Pleasure/Ability to enjoy","0::4","0=No difficulty; 1=Thoughts and feelings of incapacity , or disinterest related to activities, work or hobbies; 2=Loss of interest in activity; hobbies or work either directly reported by patient, or indirect in listlessness, indecision and vacillation (feels he/she has to push self to work or activities); 3=Decrease in actual time spent in activities or decrease in productivity; 4=Complete loss of interest, anhedonia, stopped working because of present illness",""
"hrs_appetite","Integer","","Recommended","Appetite (Increased/Decreased). Pick the highest of the two scores","0::2","0=Normal appetite; 1=Mild; 2=Definite Change","appetite"
"weight_hrsd","Integer","","Recommended","Weight (Loss/Gain). Pick the highest of the two scores","0::2","0=No change in weight; 1=Mild; 2=Definite Change",""
"par_class","Integer","","Recommended","Participant Classification","1::3","1=Patient, 2=Healthy Control, 3=Family Member","status_hrsd"
"work_and_activities","Float","","Recommended","Work and Activities (overall average score)","0::4","0=No difficulty; 1=Thoughts and feelings of incapacity , or disinterest related to activities, work or hobbies; 2=Loss of interest in activity; hobbies or work�either directly reported by patient, or indirect in listlessness, indecision and vacillation (feels he/she has to push self to work or activities); 3=Decrease in actual time spent in activities or decrease in productivity; 4=Complete loss of interest, anhedonia, stopped working because of present illness","ham_workactivities"
"sample","Integer","","Recommended","Training or randomized case","1::5","1 = randomized; 2 = training; 3=randomized-control; 4=randomized-intervention; 5=concurrent cohort-intervention",""
"atypical_totalscore","Integer","","Recommended","Total 8-Item Atypical Score","","",""
"sighsad_totalscore","Integer","","Recommended","Total 29-Item SIGH-SAD Score","","",""
"atypbal_balancescore","Integer","","Recommended","Atyipcal Balance Score: Total 8-item atypical score divided by total 29-item SIGH-SAD score, multiplied by 100 atypical score divided by total 29-item SIGH-SAD score, multiplied by 100): ","","",""
"timepoint_trtint","Integer","","Recommended","Treatment week interview administered","1::9","1=A1; 2=A2; 3=A3; 4=A4; 5=A5; 6=A6; 7=A7; 8=A8; 9=A9",""
"rxchange","Integer","","Recommended","Has your antidepressant medication changed in any way since you started the study such as taking a new medication or taking the same medication at a higher dose? ","0;1","1=Yes; 0=No",""
"newtrt","Integer","","Recommended","Have you started any new treatments outside of the treatment you are receiving in this study such as light therapy, talk therapy, or medications?","0;1","1=Yes; 0=No",""
"stim_med","Integer","","Recommended","Do you take a stimulant medication (such as Adderall, Provigil, or Nuvigil for ADHD, sleep apnea, or another condition)?  ","0;1","1=Yes; 0=No",""
"sick_pweek","Integer","","Recommended","Have you been physically sick or ill over the last week?","0;1","1=Yes; 0=No",""
"trip_lab","Integer","","Recommended","Have you taken any trips outside of the area since you were last here in the lab?","0::2","0=None; 1=Non-Tropical; 2=Tropical",""
"ss10b_a5b","Integer","","Recommended","Has the (CRAVING OR EATING) occurred at any particular time of day?  ","0::3","0 = it comes and goes at various times; 1 = usually morning; 2 = usually afternoon or evening; 3 = virtually all the time",""
"ham_anxiety_somatic","Integer","","Recommended","HRSD - Anxiety somatic","0::4","0 = Absent; 1 = Mild (symptom(s) present only infrequently, no impairment, minimal distress); 2 = Moderate (symptom(s) more persistent, or some interference with usual activities, moderate distress); 3 = Severe (significant impairment in functioning); 4 = Incapacitating",""
"ham_depressed_mood","Integer","","Recommended","HRSD - Depressed Mood (sadness, hopeless, helpless, worthless)","0::4","0 = Absent; 1 = Indicated only on questioning (occasional, mild depression); 2 = Spontaneously reported verbally (persistent, mild to moderate depression); 3 = Communicated non-verbally, i.e., facial expression, posture, voice, tendency to weep (persistent, moderate to severe depression); 4 = VIRTUALLY ONLY those feeling states reported in spontaneous verbal and non-verbal communication (persistent, very severe depression, with extreme hopelessness or tearfulness)",""
"ham_somatic_general","Integer","","Recommended","HRSD - General Somatic Symptoms","0::2","0 = None; 1 = Heaviness in limbs, back, or head. Backaches, headaches, muscle aches. Loss of energy and fatigability (somewhat less energy than usual; mild, intermittent loss of energy or muscle aches/heaviness); 2 = Any clear-cut symptoms (persistent, significant loss of energy or muscle aches/heaviness)",""
"ham_hypochon","Integer","","Recommended","HRSD - Hypochondriasis","0::4","0 = Not present (absence of inappropriate worry OR completely reassured); 1 = Self-absorption (bodily, some inappropriate worry about his/her health OR slightly concerned despite reassurance); 2 = Preoccupation with health (often has excessive worries about his/her health OR definitely concerned has specific illness despite medical reassurance); 3 = Frequent complaints, requests for help, etc. (is certain there is a physical problem which the doctors cannot confirm; exaggerated or unrealistic concerns about body and physical health); 4 = Hypochondriacal delusions (e.g., feels parts of body decaying or rotting away; occurs rarely in outpatients)",""
